Dish Name,Category,Serving Size,Calories (kcal),Carbs (g),Protein (g),Fat (g),Notes
Pandesal (Small Serving),Breakfast,1 piece (30g),67,13,2,0,Eaten with coffee
Pandesal (Large Serving),Breakfast,1 piece (30g),112,22,3,1,Eaten with coffee
Pandesal (Spicy Variant),Breakfast,1 piece (30g),90,18,3,1,Eaten with coffee; spicy
Pandesal (Low-Sodium),Breakfast,1 piece (30g),90,18,3,1,Eaten with coffee; reduced salt
Pandesal (With Brown Rice),Breakfast,1 piece (30g),94,24,3,1,Eaten with coffee; whole grain option
Pandesal (Fiesta Portion),Breakfast,1 piece (30g),125,25,4,1,Eaten with coffee
Pandesal (Budget Bowl),Breakfast,1 piece (30g),76,15,2,0,Eaten with coffee
Taho (Small Serving),Breakfast/Snack,1 cup (250ml),135,22,4,2,Soft tofu with arnibal & sago
Taho (Large Serving),Breakfast/Snack,1 cup (250ml),225,37,7,3,Soft tofu with arnibal & sago
Taho (Spicy Variant),Breakfast/Snack,1 cup (250ml),180,30,6,3,Soft tofu with arnibal & sago; spicy
Taho (Low-Sodium),Breakfast/Snack,1 cup (250ml),180,30,6,3,Soft tofu with arnibal & sago; reduced salt
Taho (With Brown Rice),Breakfast/Snack,1 cup (250ml),189,37,6,3,Soft tofu with arnibal & sago; whole grain option
Taho (Fiesta Portion),Breakfast/Snack,1 cup (250ml),251,42,8,4,Soft tofu with arnibal & sago
Taho (Budget Bowl),Breakfast/Snack,1 cup (250ml),153,25,5,2,Soft tofu with arnibal & sago
Omelette w/ Tomatoes (Small Serving),Breakfast,1 serving,165,3,10,12,Simple Filipino omelette
Omelette w/ Tomatoes (Large Serving),Breakfast,1 serving,275,6,17,20,Simple Filipino omelette
Omelette w/ Tomatoes (Spicy Variant),Breakfast,1 serving,220,5,14,16,Simple Filipino omelette; spicy
Omelette w/ Tomatoes (Low-Sodium),Breakfast,1 serving,220,5,14,16,Simple Filipino omelette; reduced salt
Omelette w/ Tomatoes (With Brown Rice),Breakfast,1 serving,231,11,14,16,Simple Filipino omelette; whole grain option
Omelette w/ Tomatoes (Fiesta Portion),Breakfast,1 serving,308,7,19,22,Simple Filipino omelette
Omelette w/ Tomatoes (Budget Bowl),Breakfast,1 serving,187,4,11,13,Simple Filipino omelette
Tortang Talong (Small Serving),Breakfast/Lunch,1 piece (150g),172,9,7,11,Eggplant omelette
Tortang Talong (Large Serving),Breakfast/Lunch,1 piece (150g),287,15,12,18,Eggplant omelette
Tortang Talong (Spicy Variant),Breakfast/Lunch,1 piece (150g),230,12,10,15,Eggplant omelette; spicy
Tortang Talong (Low-Sodium),Breakfast/Lunch,1 piece (150g),230,12,10,15,Eggplant omelette; reduced salt
Tortang Talong (With Brown Rice),Breakfast/Lunch,1 piece (150g),241,18,10,15,Eggplant omelette; whole grain option
Tortang Talong (Fiesta Portion),Breakfast/Lunch,1 piece (150g),322,16,14,21,Eggplant omelette
Tortang Talong (Budget Bowl),Breakfast/Lunch,1 piece (150g),195,10,8,12,Eggplant omelette
Tortang Giniling (Small Serving),Breakfast/Lunch,1 slice (150g),240,7,13,16,Ground pork omelette
Tortang Giniling (Large Serving),Breakfast/Lunch,1 slice (150g),400,12,22,27,Ground pork omelette
Tortang Giniling (Spicy Variant),Breakfast/Lunch,1 slice (150g),320,10,18,22,Ground pork omelette; spicy
Tortang Giniling (Low-Sodium),Breakfast/Lunch,1 slice (150g),320,10,18,22,Ground pork omelette; reduced salt
Tortang Giniling (With Brown Rice),Breakfast/Lunch,1 slice (150g),336,16,18,23,Ground pork omelette; whole grain option
Tortang Giniling (Fiesta Portion),Breakfast/Lunch,1 slice (150g),448,14,25,30,Ground pork omelette
Tortang Giniling (Budget Bowl),Breakfast/Lunch,1 slice (150g),272,8,15,18,Ground pork omelette
Pancit Canton (Small Serving),Snack/Lunch,1 plate (250g),300,41,13,9,Stir-fried egg noodles
Pancit Canton (Large Serving),Snack/Lunch,1 plate (250g),500,68,22,15,Stir-fried egg noodles
Pancit Canton (Spicy Variant),Snack/Lunch,1 plate (250g),400,55,18,12,Stir-fried egg noodles; spicy
Pancit Canton (Low-Sodium),Snack/Lunch,1 plate (250g),400,55,18,12,Stir-fried egg noodles; reduced salt
Pancit Canton (With Brown Rice),Snack/Lunch,1 plate (250g),420,63,18,12,Stir-fried egg noodles; whole grain option
Pancit Canton (Fiesta Portion),Snack/Lunch,1 plate (250g),560,77,25,16,Stir-fried egg noodles
Pancit Canton (Budget Bowl),Snack/Lunch,1 plate (250g),340,46,15,10,Stir-fried egg noodles
Pancit Bihon (Small Serving),Snack/Lunch,1 plate (250g),285,43,11,7,Rice noodles with veg & meat
Pancit Bihon (Large Serving),Snack/Lunch,1 plate (250g),475,72,18,12,Rice noodles with veg & meat
Pancit Bihon (Spicy Variant),Snack/Lunch,1 plate (250g),380,58,15,10,Rice noodles with veg & meat; spicy
Pancit Bihon (Low-Sodium),Snack/Lunch,1 plate (250g),380,58,15,10,Rice noodles with veg & meat; reduced salt
Pancit Bihon (With Brown Rice),Snack/Lunch,1 plate (250g),399,66,15,10,Rice noodles with veg & meat; whole grain option
Pancit Bihon (Fiesta Portion),Snack/Lunch,1 plate (250g),532,81,21,14,Rice noodles with veg & meat
Pancit Bihon (Budget Bowl),Snack/Lunch,1 plate (250g),323,49,12,8,Rice noodles with veg & meat
Pancit Malabon (Small Serving),Snack/Lunch,1 plate (250g),315,45,15,10,Seafood pancit
Pancit Malabon (Large Serving),Snack/Lunch,1 plate (250g),525,75,25,17,Seafood pancit
Pancit Malabon (Spicy Variant),Snack/Lunch,1 plate (250g),420,60,20,14,Seafood pancit; spicy
Pancit Malabon (Low-Sodium),Snack/Lunch,1 plate (250g),420,60,20,14,Seafood pancit; reduced salt
Pancit Malabon (With Brown Rice),Snack/Lunch,1 plate (250g),441,69,21,14,Seafood pancit; whole grain option
Pancit Malabon (Fiesta Portion),Snack/Lunch,1 plate (250g),588,84,28,19,Seafood pancit
Pancit Malabon (Budget Bowl),Snack/Lunch,1 plate (250g),357,51,17,11,Seafood pancit
Pancit Palabok (Small Serving),Snack/Lunch,1 plate (250g),337,46,13,10,"Shrimp sauce, chicharon, egg"
Pancit Palabok (Large Serving),Snack/Lunch,1 plate (250g),562,77,22,17,"Shrimp sauce, chicharon, egg"
Pancit Palabok (Spicy Variant),Snack/Lunch,1 plate (250g),450,62,18,14,"Shrimp sauce, chicharon, egg; spicy"
Pancit Palabok (Low-Sodium),Snack/Lunch,1 plate (250g),450,62,18,14,"Shrimp sauce, chicharon, egg; reduced salt"
Pancit Palabok (With Brown Rice),Snack/Lunch,1 plate (250g),472,71,18,14,"Shrimp sauce, chicharon, egg; whole grain option"
Pancit Palabok (Fiesta Portion),Snack/Lunch,1 plate (250g),630,86,25,19,"Shrimp sauce, chicharon, egg"
Pancit Palabok (Budget Bowl),Snack/Lunch,1 plate (250g),382,52,15,11,"Shrimp sauce, chicharon, egg"
Pancit Habhab (Lucban) (Small Serving),Snack/Lunch,1 plate (250g),285,42,12,7,Served on banana leaf
Pancit Habhab (Lucban) (Large Serving),Snack/Lunch,1 plate (250g),475,70,20,12,Served on banana leaf
Pancit Habhab (Lucban) (Spicy Variant),Snack/Lunch,1 plate (250g),380,56,16,10,Served on banana leaf; spicy
Pancit Habhab (Lucban) (Low-Sodium),Snack/Lunch,1 plate (250g),380,56,16,10,Served on banana leaf; reduced salt
Pancit Habhab (Lucban) (With Brown Rice),Snack/Lunch,1 plate (250g),399,64,16,10,Served on banana leaf; whole grain option
Pancit Habhab (Lucban) (Fiesta Portion),Snack/Lunch,1 plate (250g),532,78,22,14,Served on banana leaf
Pancit Habhab (Lucban) (Budget Bowl),Snack/Lunch,1 plate (250g),323,47,13,8,Served on banana leaf
Sotanghon Guisado (Small Serving),Snack/Lunch,1 plate (250g),270,40,12,6,Glass noodles stir-fry
Sotanghon Guisado (Large Serving),Snack/Lunch,1 plate (250g),450,67,20,10,Glass noodles stir-fry
Sotanghon Guisado (Spicy Variant),Snack/Lunch,1 plate (250g),360,54,16,8,Glass noodles stir-fry; spicy
Sotanghon Guisado (Low-Sodium),Snack/Lunch,1 plate (250g),360,54,16,8,Glass noodles stir-fry; reduced salt
Sotanghon Guisado (With Brown Rice),Snack/Lunch,1 plate (250g),378,62,16,8,Glass noodles stir-fry; whole grain option
Sotanghon Guisado (Fiesta Portion),Snack/Lunch,1 plate (250g),503,75,22,11,Glass noodles stir-fry
Sotanghon Guisado (Budget Bowl),Snack/Lunch,1 plate (250g),306,45,13,6,Glass noodles stir-fry
Lomi (Batangas) (Small Serving),Lunch/Dinner,1 bowl (300g),360,46,15,12,Thick egg noodle soup
Lomi (Batangas) (Large Serving),Lunch/Dinner,1 bowl (300g),600,77,25,20,Thick egg noodle soup
Lomi (Batangas) (Spicy Variant),Lunch/Dinner,1 bowl (300g),480,62,20,16,Thick egg noodle soup; spicy
Lomi (Batangas) (Low-Sodium),Lunch/Dinner,1 bowl (300g),480,62,20,16,Thick egg noodle soup; reduced salt
Lomi (Batangas) (With Brown Rice),Lunch/Dinner,1 bowl (300g),504,71,21,16,Thick egg noodle soup; whole grain option
Lomi (Batangas) (Fiesta Portion),Lunch/Dinner,1 bowl (300g),672,86,28,22,Thick egg noodle soup
Lomi (Batangas) (Budget Bowl),Lunch/Dinner,1 bowl (300g),408,52,17,13,Thick egg noodle soup
Batchoy (La Paz) (Small Serving),Lunch/Dinner,1 bowl (300g),390,36,16,16,With pork innards & chicharon
Batchoy (La Paz) (Large Serving),Lunch/Dinner,1 bowl (300g),650,60,27,27,With pork innards & chicharon
Batchoy (La Paz) (Spicy Variant),Lunch/Dinner,1 bowl (300g),520,48,22,22,With pork innards & chicharon; spicy
Batchoy (La Paz) (Low-Sodium),Lunch/Dinner,1 bowl (300g),520,48,22,22,With pork innards & chicharon; reduced salt
Batchoy (La Paz) (With Brown Rice),Lunch/Dinner,1 bowl (300g),546,56,23,23,With pork innards & chicharon; whole grain option
Batchoy (La Paz) (Fiesta Portion),Lunch/Dinner,1 bowl (300g),728,67,30,30,With pork innards & chicharon
Batchoy (La Paz) (Budget Bowl),Lunch/Dinner,1 bowl (300g),442,40,18,18,With pork innards & chicharon
Sopas (Macaroni Soup) (Small Serving),Snack/Lunch,1 bowl (300g),262,31,12,9,Creamy chicken macaroni soup
Sopas (Macaroni Soup) (Large Serving),Snack/Lunch,1 bowl (300g),437,52,20,15,Creamy chicken macaroni soup
Sopas (Macaroni Soup) (Spicy Variant),Snack/Lunch,1 bowl (300g),350,42,16,12,Creamy chicken macaroni soup; spicy
Sopas (Macaroni Soup) (Low-Sodium),Snack/Lunch,1 bowl (300g),350,42,16,12,Creamy chicken macaroni soup; reduced salt
Sopas (Macaroni Soup) (With Brown Rice),Snack/Lunch,1 bowl (300g),367,50,16,12,Creamy chicken macaroni soup; whole grain option
Sopas (Macaroni Soup) (Fiesta Portion),Snack/Lunch,1 bowl (300g),489,58,22,16,Creamy chicken macaroni soup
Sopas (Macaroni Soup) (Budget Bowl),Snack/Lunch,1 bowl (300g),297,35,13,10,Creamy chicken macaroni soup
Adobo (Chicken) (Small Serving),Lunch/Dinner,1 cup (200g),187,3,18,11,Soy-vinegar stew
Adobo (Chicken) (Large Serving),Lunch/Dinner,1 cup (200g),312,6,31,18,Soy-vinegar stew
Adobo (Chicken) (Spicy Variant),Lunch/Dinner,1 cup (200g),250,5,25,15,Soy-vinegar stew; spicy
Adobo (Chicken) (Low-Sodium),Lunch/Dinner,1 cup (200g),250,5,25,15,Soy-vinegar stew; reduced salt
Adobo (Chicken) (With Brown Rice),Lunch/Dinner,1 cup (200g),262,11,26,15,Soy-vinegar stew; whole grain option
Adobo (Chicken) (Fiesta Portion),Lunch/Dinner,1 cup (200g),350,7,35,21,Soy-vinegar stew
Adobo (Chicken) (Budget Bowl),Lunch/Dinner,1 cup (200g),212,4,21,12,Soy-vinegar stew
Adobo (Pork) (Small Serving),Lunch/Dinner,1 cup (200g),247,4,21,16,Classic ulam
Adobo (Pork) (Large Serving),Lunch/Dinner,1 cup (200g),412,7,35,27,Classic ulam
Adobo (Pork) (Spicy Variant),Lunch/Dinner,1 cup (200g),330,6,28,22,Classic ulam; spicy
Adobo (Pork) (Low-Sodium),Lunch/Dinner,1 cup (200g),330,6,28,22,Classic ulam; reduced salt
Adobo (Pork) (With Brown Rice),Lunch/Dinner,1 cup (200g),346,12,29,23,Classic ulam; whole grain option
Adobo (Pork) (Fiesta Portion),Lunch/Dinner,1 cup (200g),461,8,39,30,Classic ulam
Adobo (Pork) (Budget Bowl),Lunch/Dinner,1 cup (200g),280,5,23,18,Classic ulam
Adobo sa Gata (Small Serving),Lunch/Dinner,1 cup (200g),285,6,19,19,Adobo with coconut milk
Adobo sa Gata (Large Serving),Lunch/Dinner,1 cup (200g),475,10,32,32,Adobo with coconut milk
Adobo sa Gata (Spicy Variant),Lunch/Dinner,1 cup (200g),380,8,26,26,Adobo with coconut milk; spicy
Adobo sa Gata (Low-Sodium),Lunch/Dinner,1 cup (200g),380,8,26,26,Adobo with coconut milk; reduced salt
Adobo sa Gata (With Brown Rice),Lunch/Dinner,1 cup (200g),399,14,27,27,Adobo with coconut milk; whole grain option
Adobo sa Gata (Fiesta Portion),Lunch/Dinner,1 cup (200g),532,11,36,36,Adobo with coconut milk
Adobo sa Gata (Budget Bowl),Lunch/Dinner,1 cup (200g),323,6,22,22,Adobo with coconut milk
Adobong Puti (Small Serving),Lunch/Dinner,1 cup (200g),225,3,20,13,Adobo without soy sauce
Adobong Puti (Large Serving),Lunch/Dinner,1 cup (200g),375,5,33,22,Adobo without soy sauce
Adobong Puti (Spicy Variant),Lunch/Dinner,1 cup (200g),300,4,27,18,Adobo without soy sauce; spicy
Adobong Puti (Low-Sodium),Lunch/Dinner,1 cup (200g),300,4,27,18,Adobo without soy sauce; reduced salt
Adobong Puti (With Brown Rice),Lunch/Dinner,1 cup (200g),315,10,28,18,Adobo without soy sauce; whole grain option
Adobong Puti (Fiesta Portion),Lunch/Dinner,1 cup (200g),420,5,37,25,Adobo without soy sauce
Adobong Puti (Budget Bowl),Lunch/Dinner,1 cup (200g),255,3,22,15,Adobo without soy sauce
Paksiw na Lechon (Small Serving),Lunch/Dinner,1 cup (200g),315,7,18,22,Lechon in vinegar sauce
Paksiw na Lechon (Large Serving),Lunch/Dinner,1 cup (200g),525,12,30,37,Lechon in vinegar sauce
Paksiw na Lechon (Spicy Variant),Lunch/Dinner,1 cup (200g),420,10,24,30,Lechon in vinegar sauce; spicy
Paksiw na Lechon (Low-Sodium),Lunch/Dinner,1 cup (200g),420,10,24,30,Lechon in vinegar sauce; reduced salt
Paksiw na Lechon (With Brown Rice),Lunch/Dinner,1 cup (200g),441,16,25,31,Lechon in vinegar sauce; whole grain option
Paksiw na Lechon (Fiesta Portion),Lunch/Dinner,1 cup (200g),588,14,33,42,Lechon in vinegar sauce
Paksiw na Lechon (Budget Bowl),Lunch/Dinner,1 cup (200g),357,8,20,25,Lechon in vinegar sauce
Paksiw na Isda (Small Serving),Lunch/Dinner,1 cup (200g),165,3,18,9,Fish stewed in vinegar
Paksiw na Isda (Large Serving),Lunch/Dinner,1 cup (200g),275,5,30,15,Fish stewed in vinegar
Paksiw na Isda (Spicy Variant),Lunch/Dinner,1 cup (200g),220,4,24,12,Fish stewed in vinegar; spicy
Paksiw na Isda (Low-Sodium),Lunch/Dinner,1 cup (200g),220,4,24,12,Fish stewed in vinegar; reduced salt
Paksiw na Isda (With Brown Rice),Lunch/Dinner,1 cup (200g),231,10,25,12,Fish stewed in vinegar; whole grain option
Paksiw na Isda (Fiesta Portion),Lunch/Dinner,1 cup (200g),308,5,33,16,Fish stewed in vinegar
Paksiw na Isda (Budget Bowl),Lunch/Dinner,1 cup (200g),187,3,20,10,Fish stewed in vinegar
Kare-Kare (Small Serving),Lunch/Dinner,1 cup stew + 1 cup rice,525,48,22,26,"Peanut stew, bagoong on side"
Kare-Kare (Large Serving),Lunch/Dinner,1 cup stew + 1 cup rice,875,81,37,43,"Peanut stew, bagoong on side"
Kare-Kare (Spicy Variant),Lunch/Dinner,1 cup stew + 1 cup rice,700,65,30,35,"Peanut stew, bagoong on side; spicy"
Kare-Kare (Low-Sodium),Lunch/Dinner,1 cup stew + 1 cup rice,700,65,30,35,"Peanut stew, bagoong on side; reduced salt"
Kare-Kare (With Brown Rice),Lunch/Dinner,1 cup stew + 1 cup rice,735,74,31,36,"Peanut stew, bagoong on side; whole grain option"
Kare-Kare (Fiesta Portion),Lunch/Dinner,1 cup stew + 1 cup rice,979,91,42,49,"Peanut stew, bagoong on side"
Kare-Kare (Budget Bowl),Lunch/Dinner,1 cup stew + 1 cup rice,595,55,25,29,"Peanut stew, bagoong on side"
Caldereta (Beef) (Small Serving),Lunch/Dinner,1 cup (200g),262,13,19,15,Tomato-based beef stew
Caldereta (Beef) (Large Serving),Lunch/Dinner,1 cup (200g),437,22,32,25,Tomato-based beef stew
Caldereta (Beef) (Spicy Variant),Lunch/Dinner,1 cup (200g),350,18,26,20,Tomato-based beef stew; spicy
Caldereta (Beef) (Low-Sodium),Lunch/Dinner,1 cup (200g),350,18,26,20,Tomato-based beef stew; reduced salt
Caldereta (Beef) (With Brown Rice),Lunch/Dinner,1 cup (200g),367,24,27,21,Tomato-based beef stew; whole grain option
Caldereta (Beef) (Fiesta Portion),Lunch/Dinner,1 cup (200g),489,25,36,28,Tomato-based beef stew
Caldereta (Beef) (Budget Bowl),Lunch/Dinner,1 cup (200g),297,15,22,17,Tomato-based beef stew
Menudo (Pork) (Small Serving),Lunch/Dinner,1 cup (200g),210,9,16,13,Tomato-based pork stew
Menudo (Pork) (Large Serving),Lunch/Dinner,1 cup (200g),350,15,27,22,Tomato-based pork stew
Menudo (Pork) (Spicy Variant),Lunch/Dinner,1 cup (200g),280,12,22,18,Tomato-based pork stew; spicy
Menudo (Pork) (Low-Sodium),Lunch/Dinner,1 cup (200g),280,12,22,18,Tomato-based pork stew; reduced salt
Menudo (Pork) (With Brown Rice),Lunch/Dinner,1 cup (200g),294,18,23,18,Tomato-based pork stew; whole grain option
Menudo (Pork) (Fiesta Portion),Lunch/Dinner,1 cup (200g),392,16,30,25,Tomato-based pork stew
Menudo (Pork) (Budget Bowl),Lunch/Dinner,1 cup (200g),238,10,18,15,Tomato-based pork stew
Afritada (Chicken) (Small Serving),Lunch/Dinner,1 cup (200g),217,11,17,10,Chicken in tomato sauce
Afritada (Chicken) (Large Serving),Lunch/Dinner,1 cup (200g),362,18,28,17,Chicken in tomato sauce
Afritada (Chicken) (Spicy Variant),Lunch/Dinner,1 cup (200g),290,15,23,14,Chicken in tomato sauce; spicy
Afritada (Chicken) (Low-Sodium),Lunch/Dinner,1 cup (200g),290,15,23,14,Chicken in tomato sauce; reduced salt
Afritada (Chicken) (With Brown Rice),Lunch/Dinner,1 cup (200g),304,21,24,14,Chicken in tomato sauce; whole grain option
Afritada (Chicken) (Fiesta Portion),Lunch/Dinner,1 cup (200g),406,21,32,19,Chicken in tomato sauce
Afritada (Chicken) (Budget Bowl),Lunch/Dinner,1 cup (200g),246,12,19,11,Chicken in tomato sauce
Mechado (Beef) (Small Serving),Lunch/Dinner,1 cup (200g),255,12,19,13,Beef stew with larded pork
Mechado (Beef) (Large Serving),Lunch/Dinner,1 cup (200g),425,20,32,22,Beef stew with larded pork
Mechado (Beef) (Spicy Variant),Lunch/Dinner,1 cup (200g),340,16,26,18,Beef stew with larded pork; spicy
Mechado (Beef) (Low-Sodium),Lunch/Dinner,1 cup (200g),340,16,26,18,Beef stew with larded pork; reduced salt
Mechado (Beef) (With Brown Rice),Lunch/Dinner,1 cup (200g),357,22,27,18,Beef stew with larded pork; whole grain option
Mechado (Beef) (Fiesta Portion),Lunch/Dinner,1 cup (200g),475,22,36,25,Beef stew with larded pork
Mechado (Beef) (Budget Bowl),Lunch/Dinner,1 cup (200g),289,13,22,15,Beef stew with larded pork
Bicol Express (Small Serving),Lunch/Dinner,1 cup (150g),300,9,13,22,Spicy pork in coconut milk
Bicol Express (Large Serving),Lunch/Dinner,1 cup (150g),500,15,22,37,Spicy pork in coconut milk
Bicol Express (Spicy Variant),Lunch/Dinner,1 cup (150g),400,12,18,30,Spicy pork in coconut milk; spicy
Bicol Express (Low-Sodium),Lunch/Dinner,1 cup (150g),400,12,18,30,Spicy pork in coconut milk; reduced salt
Bicol Express (With Brown Rice),Lunch/Dinner,1 cup (150g),420,18,18,31,Spicy pork in coconut milk; whole grain option
Bicol Express (Fiesta Portion),Lunch/Dinner,1 cup (150g),560,16,25,42,Spicy pork in coconut milk
Bicol Express (Budget Bowl),Lunch/Dinner,1 cup (150g),340,10,15,25,Spicy pork in coconut milk
Laing (Small Serving),Lunch/Dinner,1 cup (150g),262,15,7,21,Dried taro leaves in coconut
Laing (Large Serving),Lunch/Dinner,1 cup (150g),437,25,12,35,Dried taro leaves in coconut
Laing (Spicy Variant),Lunch/Dinner,1 cup (150g),350,20,10,28,Dried taro leaves in coconut; spicy
Laing (Low-Sodium),Lunch/Dinner,1 cup (150g),350,20,10,28,Dried taro leaves in coconut; reduced salt
Laing (With Brown Rice),Lunch/Dinner,1 cup (150g),367,27,10,29,Dried taro leaves in coconut; whole grain option
Laing (Fiesta Portion),Lunch/Dinner,1 cup (150g),489,28,14,39,Dried taro leaves in coconut
Laing (Budget Bowl),Lunch/Dinner,1 cup (150g),297,17,8,23,Dried taro leaves in coconut
Pinakbet (Ilocano) (Small Serving),Lunch/Dinner,1 cup (200g),135,15,6,4,Veg stew with bagoong
Pinakbet (Ilocano) (Large Serving),Lunch/Dinner,1 cup (200g),225,25,10,7,Veg stew with bagoong
Pinakbet (Ilocano) (Spicy Variant),Lunch/Dinner,1 cup (200g),180,20,8,6,Veg stew with bagoong; spicy
Pinakbet (Ilocano) (Low-Sodium),Lunch/Dinner,1 cup (200g),180,20,8,6,Veg stew with bagoong; reduced salt
Pinakbet (Ilocano) (With Brown Rice),Lunch/Dinner,1 cup (200g),189,27,8,6,Veg stew with bagoong; whole grain option
Pinakbet (Ilocano) (Fiesta Portion),Lunch/Dinner,1 cup (200g),251,28,11,8,Veg stew with bagoong
Pinakbet (Ilocano) (Budget Bowl),Lunch/Dinner,1 cup (200g),153,17,6,5,Veg stew with bagoong
Dinengdeng (Small Serving),Lunch/Dinner,1 bowl (250g),120,13,7,3,Light veg soup with grilled fish
Dinengdeng (Large Serving),Lunch/Dinner,1 bowl (250g),200,22,12,6,Light veg soup with grilled fish
Dinengdeng (Spicy Variant),Lunch/Dinner,1 bowl (250g),160,18,10,5,Light veg soup with grilled fish; spicy
Dinengdeng (Low-Sodium),Lunch/Dinner,1 bowl (250g),160,18,10,5,Light veg soup with grilled fish; reduced salt
Dinengdeng (With Brown Rice),Lunch/Dinner,1 bowl (250g),168,24,10,5,Light veg soup with grilled fish; whole grain option
Dinengdeng (Fiesta Portion),Lunch/Dinner,1 bowl (250g),224,25,14,7,Light veg soup with grilled fish
Dinengdeng (Budget Bowl),Lunch/Dinner,1 bowl (250g),136,15,8,4,Light veg soup with grilled fish
Ginataang Sitaw at Kalabasa (Small Serving),Lunch/Dinner,1 cup (200g),210,16,6,13,String beans & squash in coconut
Ginataang Sitaw at Kalabasa (Large Serving),Lunch/Dinner,1 cup (200g),350,27,10,22,String beans & squash in coconut
Ginataang Sitaw at Kalabasa (Spicy Variant),Lunch/Dinner,1 cup (200g),280,22,8,18,String beans & squash in coconut; spicy
Ginataang Sitaw at Kalabasa (Low-Sodium),Lunch/Dinner,1 cup (200g),280,22,8,18,String beans & squash in coconut; reduced salt
Ginataang Sitaw at Kalabasa (With Brown Rice),Lunch/Dinner,1 cup (200g),294,29,8,18,String beans & squash in coconut; whole grain option
Ginataang Sitaw at Kalabasa (Fiesta Portion),Lunch/Dinner,1 cup (200g),392,30,11,25,String beans & squash in coconut
Ginataang Sitaw at Kalabasa (Budget Bowl),Lunch/Dinner,1 cup (200g),238,18,6,15,String beans & squash in coconut
Inihaw na Liempo (Small Serving),Lunch/Dinner,150g,390,2,21,31,Grilled pork belly
Inihaw na Liempo (Large Serving),Lunch/Dinner,150g,650,3,35,52,Grilled pork belly
Inihaw na Liempo (Spicy Variant),Lunch/Dinner,150g,520,3,28,42,Grilled pork belly; spicy
Inihaw na Liempo (Low-Sodium),Lunch/Dinner,150g,520,3,28,42,Grilled pork belly; reduced salt
Inihaw na Liempo (With Brown Rice),Lunch/Dinner,150g,546,9,29,44,Grilled pork belly; whole grain option
Inihaw na Liempo (Fiesta Portion),Lunch/Dinner,150g,728,4,39,58,Grilled pork belly
Inihaw na Liempo (Budget Bowl),Lunch/Dinner,150g,442,2,23,35,Grilled pork belly
Chicken Inasal (Small Serving),Lunch/Dinner,1 quarter (200g),240,3,21,15,Grilled chicken Bacolod-style
Chicken Inasal (Large Serving),Lunch/Dinner,1 quarter (200g),400,5,35,25,Grilled chicken Bacolod-style
Chicken Inasal (Spicy Variant),Lunch/Dinner,1 quarter (200g),320,4,28,20,Grilled chicken Bacolod-style; spicy
Chicken Inasal (Low-Sodium),Lunch/Dinner,1 quarter (200g),320,4,28,20,Grilled chicken Bacolod-style; reduced salt
Chicken Inasal (With Brown Rice),Lunch/Dinner,1 quarter (200g),336,10,29,21,Grilled chicken Bacolod-style; whole grain option
Chicken Inasal (Fiesta Portion),Lunch/Dinner,1 quarter (200g),448,5,39,28,Grilled chicken Bacolod-style
Chicken Inasal (Budget Bowl),Lunch/Dinner,1 quarter (200g),272,3,23,17,Grilled chicken Bacolod-style
Lechon Kawali (Small Serving),Lunch/Dinner,120g,360,4,15,27,Crispy pan-fried pork belly
Lechon Kawali (Large Serving),Lunch/Dinner,120g,600,7,25,45,Crispy pan-fried pork belly
Lechon Kawali (Spicy Variant),Lunch/Dinner,120g,480,6,20,36,Crispy pan-fried pork belly; spicy
Lechon Kawali (Low-Sodium),Lunch/Dinner,120g,480,6,20,36,Crispy pan-fried pork belly; reduced salt
Lechon Kawali (With Brown Rice),Lunch/Dinner,120g,504,12,21,37,Crispy pan-fried pork belly; whole grain option
Lechon Kawali (Fiesta Portion),Lunch/Dinner,120g,672,8,28,50,Crispy pan-fried pork belly
Lechon Kawali (Budget Bowl),Lunch/Dinner,120g,408,5,17,30,Crispy pan-fried pork belly
Crispy Pata (Small Serving),Lunch/Dinner,150g,487,3,22,37,Deep-fried pork knuckle
Crispy Pata (Large Serving),Lunch/Dinner,150g,812,5,37,62,Deep-fried pork knuckle
Crispy Pata (Spicy Variant),Lunch/Dinner,150g,650,4,30,50,Deep-fried pork knuckle; spicy
Crispy Pata (Low-Sodium),Lunch/Dinner,150g,650,4,30,50,Deep-fried pork knuckle; reduced salt
Crispy Pata (With Brown Rice),Lunch/Dinner,150g,682,10,31,52,Deep-fried pork knuckle; whole grain option
Crispy Pata (Fiesta Portion),Lunch/Dinner,150g,909,5,42,70,Deep-fried pork knuckle
Crispy Pata (Budget Bowl),Lunch/Dinner,150g,552,3,25,42,Deep-fried pork knuckle
Bistek Tagalog (Small Serving),Lunch/Dinner,1 cup (200g),225,7,21,12,Beef steak with onions & soy
Bistek Tagalog (Large Serving),Lunch/Dinner,1 cup (200g),375,12,35,20,Beef steak with onions & soy
Bistek Tagalog (Spicy Variant),Lunch/Dinner,1 cup (200g),300,10,28,16,Beef steak with onions & soy; spicy
Bistek Tagalog (Low-Sodium),Lunch/Dinner,1 cup (200g),300,10,28,16,Beef steak with onions & soy; reduced salt
Bistek Tagalog (With Brown Rice),Lunch/Dinner,1 cup (200g),315,16,29,16,Beef steak with onions & soy; whole grain option
Bistek Tagalog (Fiesta Portion),Lunch/Dinner,1 cup (200g),420,14,39,22,Beef steak with onions & soy
