"Dish Name",Category,"Serving Size","Calories (kcal)","Carbs (g)","Protein (g)","Fat (g)",Notes,Ingredients
"Pancit Malabon (Spicy Variant)",Snack/Lunch,"1 plate (250g)",420,60,20,14,"Seafood pancit; spicy","Thick rice noodles, Shrimp, Squid, Oysters, Hard-boiled eggs, Chicharon, Onion, Garlic, Annatto powder, Shrimp paste, Cooking oil"
"Pancit Malabon (Low-Sodium)",Snack/Lunch,"1 plate (250g)",420,60,20,14,"Seafood pancit; reduced salt","Thick rice noodles, Shrimp, Squid, Oysters, Hard-boiled eggs, Chicharon, Onion, Garlic, Annatto powder, Shrimp paste, Cooking oil"
"Pancit Malabon (With Brown Rice)",Snack/Lunch,"1 plate (250g)",441,69,21,14,"Seafood pancit; whole grain option","Thick rice noodles, Shrimp, Squid, Oysters, Hard-boiled eggs, Chicharon, Onion, Garlic, Annatto powder, Shrimp paste, Cooking oil"
"Pancit Malabon (Fiesta Portion)",Snack/Lunch,"1 plate (250g)",588,84,28,19,"Seafood pancit","Thick rice noodles, Shrimp, Squid, Oysters, Hard-boiled eggs, Chicharon, Onion, Garlic, Annatto powder, Shrimp paste, Cooking oil"
"Pancit Malabon (Budget Bowl)",Snack/Lunch,"1 plate (250g)",357,51,17,11,"Seafood pancit","Thick rice noodles, Shrimp, Squid, Oysters, Hard-boiled eggs, Chicharon, Onion, Garlic, Annatto powder, Shrimp paste, Cooking oil"
"Pancit Palabok (Small Serving)",Snack/Lunch,"1 plate (250g)",337,46,13,10,"Shrimp sauce, chicharon, egg","Rice noodles, Shrimp, Shrimp paste, Hard-boiled eggs, Chicharon, Tofu, Onion, Garlic, Annatto powder, Cooking oil, Calamansi"
"Pancit Palabok (Large Serving)",Snack/Lunch,"1 plate (250g)",562,77,22,17,"Shrimp sauce, chicharon, egg","Rice noodles, Shrimp, Shrimp paste, Hard-boiled eggs, Chicharon, Tofu, Onion, Garlic, Annatto powder, Cooking oil, Calamansi"
"Pancit Palabok (Spicy Variant)",Snack/Lunch,"1 plate (250g)",450,62,18,14,"Shrimp sauce, chicharon, egg; spicy","Rice noodles, Shrimp, Shrimp paste, Hard-boiled eggs, Chicharon, Tofu, Onion, Garlic, Annatto powder, Cooking oil, Calamansi"
"Pancit Palabok (Low-Sodium)",Snack/Lunch,"1 plate (250g)",450,62,18,14,"Shrimp sauce, chicharon, egg; reduced salt","Rice noodles, Shrimp, Shrimp paste, Hard-boiled eggs, Chicharon, Tofu, Onion, Garlic, Annatto powder, Cooking oil, Calamansi"
"Pancit Palabok (With Brown Rice)",Snack/Lunch,"1 plate (250g)",472,71,18,14,"Shrimp sauce, chicharon, egg; whole grain option","Rice noodles, Shrimp, Shrimp paste, Hard-boiled eggs, Chicharon, Tofu, Onion, Garlic, Annatto powder, Cooking oil, Calamansi"
"Pancit Palabok (Fiesta Portion)",Snack/Lunch,"1 plate (250g)",630,86,25,19,"Shrimp sauce, chicharon, egg","Rice noodles, Shrimp, Shrimp paste, Hard-boiled eggs, Chicharon, Tofu, Onion, Garlic, Annatto powder, Cooking oil, Calamansi"
"Pancit Palabok (Budget Bowl)",Snack/Lunch,"1 plate (250g)",382,52,15,11,"Shrimp sauce, chicharon, egg","Rice noodles, Shrimp, Shrimp paste, Hard-boiled eggs, Chicharon, Tofu, Onion, Garlic, Annatto powder, Cooking oil, Calamansi"
"Pancit Habhab (Lucban) (Small Serving)",Snack/Lunch,"1 plate (250g)",285,42,12,7,"Served on banana leaf","Rice noodles, Pork, Vegetables, Onion, Garlic, Soy sauce, Vinegar, Banana leaf"
"Pancit Habhab (Lucban) (Large Serving)",Snack/Lunch,"1 plate (250g)",475,70,20,12,"Served on banana leaf","Rice noodles, Pork, Vegetables, Onion, Garlic, Soy sauce, Vinegar, Banana leaf"
"Pancit Habhab (Lucban) (Spicy Variant)",Snack/Lunch,"1 plate (250g)",380,56,16,10,"Served on banana leaf; spicy","Rice noodles, Pork, Vegetables, Onion, Garlic, Soy sauce, Vinegar, Banana leaf"
"Pancit Habhab (Lucban) (Low-Sodium)",Snack/Lunch,"1 plate (250g)",380,56,16,10,"Served on banana leaf; reduced salt","Rice noodles, Pork, Vegetables, Onion, Garlic, Soy sauce, Vinegar, Banana leaf"
"Pancit Habhab (Lucban) (With Brown Rice)",Snack/Lunch,"1 plate (250g)",399,64,16,10,"Served on banana leaf; whole grain option","Rice noodles, Pork, Vegetables, Onion, Garlic, Soy sauce, Vinegar, Banana leaf"
"Pancit Habhab (Lucban) (Fiesta Portion)",Snack/Lunch,"1 plate (250g)",532,78,22,14,"Served on banana leaf","Rice noodles, Pork, Vegetables, Onion, Garlic, Soy sauce, Vinegar, Banana leaf"
"Pancit Habhab (Lucban) (Budget Bowl)",Snack/Lunch,"1 plate (250g)",323,47,13,8,"Served on banana leaf","Rice noodles, Pork, Vegetables, Onion, Garlic, Soy sauce, Vinegar, Banana leaf"
"Sotanghon Guisado (Small Serving)",Snack/Lunch,"1 plate (250g)",270,40,12,6,"Glass noodles stir-fry","Glass noodles, Chicken or pork, Cabbage, Carrots, Green beans, Onion, Garlic, Soy sauce, Cooking oil, Salt, Black pepper"
"Sotanghon Guisado (Large Serving)",Snack/Lunch,"1 plate (250g)",450,67,20,10,"Glass noodles stir-fry","Glass noodles, Chicken or pork, Cabbage, Carrots, Green beans, Onion, Garlic, Soy sauce, Cooking oil, Salt, Black pepper"
"Sotanghon Guisado (Spicy Variant)",Snack/Lunch,"1 plate (250g)",360,54,16,8,"Glass noodles stir-fry; spicy","Glass noodles, Chicken or pork, Cabbage, Carrots, Green beans, Onion, Garlic, Soy sauce, Cooking oil, Salt, Black pepper"
"Sotanghon Guisado (Low-Sodium)",Snack/Lunch,"1 plate (250g)",360,54,16,8,"Glass noodles stir-fry; reduced salt","Glass noodles, Chicken or pork, Cabbage, Carrots, Green beans, Onion, Garlic, Soy sauce, Cooking oil, Salt, Black pepper"
"Sotanghon Guisado (With Brown Rice)",Snack/Lunch,"1 plate (250g)",378,62,16,8,"Glass noodles stir-fry; whole grain option","Glass noodles, Chicken or pork, Cabbage, Carrots, Green beans, Onion, Garlic, Soy sauce, Cooking oil, Salt, Black pepper"
"Sotanghon Guisado (Fiesta Portion)",Snack/Lunch,"1 plate (250g)",503,75,22,11,"Glass noodles stir-fry","Glass noodles, Chicken or pork, Cabbage, Carrots, Green beans, Onion, Garlic, Soy sauce, Cooking oil, Salt, Black pepper"
"Sotanghon Guisado (Budget Bowl)",Snack/Lunch,"1 plate (250g)",306,45,13,6,"Glass noodles stir-fry","Glass noodles, Chicken or pork, Cabbage, Carrots, Green beans, Onion, Garlic, Soy sauce, Cooking oil, Salt, Black pepper"
"Lomi (Batangas) (Small Serving)",Lunch/Dinner,"1 bowl (300g)",360,46,15,12,"Thick egg noodle soup","Thick egg noodles, Pork, Chicken liver, Shrimp, Vegetables, Onion, Garlic, Soy sauce, Cornstarch, Cooking oil, Spring onion"
"Lomi (Batangas) (Large Serving)",Lunch/Dinner,"1 bowl (300g)",600,77,25,20,"Thick egg noodle soup","Thick egg noodles, Pork, Chicken liver, Shrimp, Vegetables, Onion, Garlic, Soy sauce, Cornstarch, Cooking oil, Spring onion"
"Lomi (Batangas) (Spicy Variant)",Lunch/Dinner,"1 bowl (300g)",480,62,20,16,"Thick egg noodle soup; spicy","Thick egg noodles, Pork, Chicken liver, Shrimp, Vegetables, Onion, Garlic, Soy sauce, Cornstarch, Cooking oil, Spring onion"
"Lomi (Batangas) (Low-Sodium)",Lunch/Dinner,"1 bowl (300g)",480,62,20,16,"Thick egg noodle soup; reduced salt","Thick egg noodles, Pork, Chicken liver, Shrimp, Vegetables, Onion, Garlic, Soy sauce, Cornstarch, Cooking oil, Spring onion"
"Lomi (Batangas) (With Brown Rice)",Lunch/Dinner,"1 bowl (300g)",504,71,21,16,"Thick egg noodle soup; whole grain option","Thick egg noodles, Pork, Chicken liver, Shrimp, Vegetables, Onion, Garlic, Soy sauce, Cornstarch, Cooking oil, Spring onion"
"Lomi (Batangas) (Fiesta Portion)",Lunch/Dinner,"1 bowl (300g)",672,86,28,22,"Thick egg noodle soup","Thick egg noodles, Pork, Chicken liver, Shrimp, Vegetables, Onion, Garlic, Soy sauce, Cornstarch, Cooking oil, Spring onion"
"Lomi (Batangas) (Budget Bowl)",Lunch/Dinner,"1 bowl (300g)",408,52,17,13,"Thick egg noodle soup","Thick egg noodles, Pork, Chicken liver, Shrimp, Vegetables, Onion, Garlic, Soy sauce, Cornstarch, Cooking oil, Spring onion"
"Batchoy (La Paz) (Small Serving)",Lunch/Dinner,"1 bowl (300g)",390,36,16,16,"With pork innards & chicharon","Egg noodles, Pork, Pork innards, Chicharon, Onion, Garlic, Fish sauce, Black pepper, Spring onion, Calamansi"
"Batchoy (La Paz) (Large Serving)",Lunch/Dinner,"1 bowl (300g)",650,60,27,27,"With pork innards & chicharon","Egg noodles, Pork, Pork innards, Chicharon, Onion, Garlic, Fish sauce, Black pepper, Spring onion, Calamansi"
"Batchoy (La Paz) (Spicy Variant)",Lunch/Dinner,"1 bowl (300g)",520,48,22,22,"With pork innards & chicharon; spicy","Egg noodles, Pork, Pork innards, Chicharon, Onion, Garlic, Fish sauce, Black pepper, Spring onion, Calamansi"
"Batchoy (La Paz) (Low-Sodium)",Lunch/Dinner,"1 bowl (300g)",520,48,22,22,"With pork innards & chicharon; reduced salt","Egg noodles, Pork, Pork innards, Chicharon, Onion, Garlic, Fish sauce, Black pepper, Spring onion, Calamansi"
"Batchoy (La Paz) (With Brown Rice)",Lunch/Dinner,"1 bowl (300g)",546,56,23,23,"With pork innards & chicharon; whole grain option","Egg noodles, Pork, Pork innards, Chicharon, Onion, Garlic, Fish sauce, Black pepper, Spring onion, Calamansi"
"Batchoy (La Paz) (Fiesta Portion)",Lunch/Dinner,"1 bowl (300g)",728,67,30,30,"With pork innards & chicharon","Egg noodles, Pork, Pork innards, Chicharon, Onion, Garlic, Fish sauce, Black pepper, Spring onion, Calamansi"
"Batchoy (La Paz) (Budget Bowl)",Lunch/Dinner,"1 bowl (300g)",442,40,18,18,"With pork innards & chicharon","Egg noodles, Pork, Pork innards, Chicharon, Onion, Garlic, Fish sauce, Black pepper, Spring onion, Calamansi"
"Sopas (Macaroni Soup) (Small Serving)",Snack/Lunch,"1 bowl (300g)",262,31,12,9,"Creamy chicken macaroni soup","Macaroni, Chicken, Milk or cream, Carrots, Cabbage, Onion, Garlic, Butter, Salt, Black pepper"
"Sopas (Macaroni Soup) (Large Serving)",Snack/Lunch,"1 bowl (300g)",437,52,20,15,"Creamy chicken macaroni soup","Macaroni, Chicken, Milk or cream, Carrots, Cabbage, Onion, Garlic, Butter, Salt, Black pepper"
"Sopas (Macaroni Soup) (Spicy Variant)",Snack/Lunch,"1 bowl (300g)",350,42,16,12,"Creamy chicken macaroni soup; spicy","Macaroni, Chicken, Milk or cream, Carrots, Cabbage, Onion, Garlic, Butter, Salt, Black pepper"
"Sopas (Macaroni Soup) (Low-Sodium)",Snack/Lunch,"1 bowl (300g)",350,42,16,12,"Creamy chicken macaroni soup; reduced salt","Macaroni, Chicken, Milk or cream, Carrots, Cabbage, Onion, Garlic, Butter, Salt, Black pepper"
"Sopas (Macaroni Soup) (With Brown Rice)",Snack/Lunch,"1 bowl (300g)",367,50,16,12,"Creamy chicken macaroni soup; whole grain option","Macaroni, Chicken, Milk or cream, Carrots, Cabbage, Onion, Garlic, Butter, Salt, Black pepper"
"Sopas (Macaroni Soup) (Fiesta Portion)",Snack/Lunch,"1 bowl (300g)",489,58,22,16,"Creamy chicken macaroni soup","Macaroni, Chicken, Milk or cream, Carrots, Cabbage, Onion, Garlic, Butter, Salt, Black pepper"
"Sopas (Macaroni Soup) (Budget Bowl)",Snack/Lunch,"1 bowl (300g)",297,35,13,10,"Creamy chicken macaroni soup","Macaroni, Chicken, Milk or cream, Carrots, Cabbage, Onion, Garlic, Butter, Salt, Black pepper"
"Adobo (Chicken) (Small Serving)",Lunch/Dinner,"1 cup (200g)",187,3,18,11,"Soy-vinegar stew","Chicken, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Sugar, Cooking oil, Water"
"Adobo (Chicken) (Large Serving)",Lunch/Dinner,"1 cup (200g)",312,6,31,18,"Soy-vinegar stew","Chicken, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Sugar, Cooking oil, Water"
"Adobo (Chicken) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",250,5,25,15,"Soy-vinegar stew; spicy","Chicken, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Sugar, Cooking oil, Water"
"Adobo (Chicken) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",250,5,25,15,"Soy-vinegar stew; reduced salt","Chicken, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Sugar, Cooking oil, Water"
"Adobo (Chicken) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",262,11,26,15,"Soy-vinegar stew; whole grain option","Chicken, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Sugar, Cooking oil, Water"
"Adobo (Chicken) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",350,7,35,21,"Soy-vinegar stew","Chicken, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Sugar, Cooking oil, Water"
"Adobo (Chicken) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",212,4,21,12,"Soy-vinegar stew","Chicken, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Sugar, Cooking oil, Water"
"Adobo (Pork) (Small Serving)",Lunch/Dinner,"1 cup (200g)",247,4,21,16,"Classic ulam","Pork, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Sugar, Cooking oil, Water"
"Adobo (Pork) (Large Serving)",Lunch/Dinner,"1 cup (200g)",412,7,35,27,"Classic ulam","Pork, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Sugar, Cooking oil, Water"
"Adobo (Pork) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",330,6,28,22,"Classic ulam; spicy","Pork, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Sugar, Cooking oil, Water"
"Adobo (Pork) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",330,6,28,22,"Classic ulam; reduced salt","Pork, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Sugar, Cooking oil, Water"
"Adobo (Pork) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",346,12,29,23,"Classic ulam; whole grain option","Pork, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Sugar, Cooking oil, Water"
"Adobo (Pork) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",461,8,39,30,"Classic ulam","Pork, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Sugar, Cooking oil, Water"
"Adobo (Pork) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",280,5,23,18,"Classic ulam","Pork, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Sugar, Cooking oil, Water"
"Adobo sa Gata (Small Serving)",Lunch/Dinner,"1 cup (200g)",285,6,19,19,"Adobo with coconut milk","Chicken or pork, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Coconut milk, Cooking oil, Water"
"Adobo sa Gata (Large Serving)",Lunch/Dinner,"1 cup (200g)",475,10,32,32,"Adobo with coconut milk","Chicken or pork, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Coconut milk, Cooking oil, Water"
"Adobo sa Gata (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",380,8,26,26,"Adobo with coconut milk; spicy","Chicken or pork, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Coconut milk, Cooking oil, Water"
"Adobo sa Gata (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",380,8,26,26,"Adobo with coconut milk; reduced salt","Chicken or pork, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Coconut milk, Cooking oil, Water"
"Adobo sa Gata (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",399,14,27,27,"Adobo with coconut milk; whole grain option","Chicken or pork, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Coconut milk, Cooking oil, Water"
"Adobo sa Gata (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",532,11,36,36,"Adobo with coconut milk","Chicken or pork, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Coconut milk, Cooking oil, Water"
"Adobo sa Gata (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",323,6,22,22,"Adobo with coconut milk","Chicken or pork, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Coconut milk, Cooking oil, Water"
"Adobong Puti (Small Serving)",Lunch/Dinner,"1 cup (200g)",225,3,20,13,"Adobo without soy sauce","Chicken or pork, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Salt, Cooking oil, Water"
"Adobong Puti (Large Serving)",Lunch/Dinner,"1 cup (200g)",375,5,33,22,"Adobo without soy sauce","Chicken or pork, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Salt, Cooking oil, Water"
"Adobong Puti (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",300,4,27,18,"Adobo without soy sauce; spicy","Chicken or pork, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Salt, Cooking oil, Water"
"Adobong Puti (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",300,4,27,18,"Adobo without soy sauce; reduced salt","Chicken or pork, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Salt, Cooking oil, Water"
"Adobong Puti (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",315,10,28,18,"Adobo without soy sauce; whole grain option","Chicken or pork, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Salt, Cooking oil, Water"
"Adobong Puti (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",420,5,37,25,"Adobo without soy sauce","Chicken or pork, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Salt, Cooking oil, Water"
"Adobong Puti (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",255,3,22,15,"Adobo without soy sauce","Chicken or pork, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Salt, Cooking oil, Water"
"Paksiw na Lechon (Small Serving)",Lunch/Dinner,"1 cup (200g)",315,7,18,22,"Lechon in vinegar sauce","Lechon (roasted pig), Vinegar, Garlic, Bay leaves, Black peppercorns, Sugar, Salt, Water"
"Paksiw na Lechon (Large Serving)",Lunch/Dinner,"1 cup (200g)",525,12,30,37,"Lechon in vinegar sauce","Lechon (roasted pig), Vinegar, Garlic, Bay leaves, Black peppercorns, Sugar, Salt, Water"
"Paksiw na Lechon (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",420,10,24,30,"Lechon in vinegar sauce; spicy","Lechon (roasted pig), Vinegar, Garlic, Bay leaves, Black peppercorns, Sugar, Salt, Water"
"Paksiw na Lechon (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",420,10,24,30,"Lechon in vinegar sauce; reduced salt","Lechon (roasted pig), Vinegar, Garlic, Bay leaves, Black peppercorns, Sugar, Salt, Water"
"Paksiw na Lechon (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",441,16,25,31,"Lechon in vinegar sauce; whole grain option","Lechon (roasted pig), Vinegar, Garlic, Bay leaves, Black peppercorns, Sugar, Salt, Water"
"Paksiw na Lechon (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",588,14,33,42,"Lechon in vinegar sauce","Lechon (roasted pig), Vinegar, Garlic, Bay leaves, Black peppercorns, Sugar, Salt, Water"
"Paksiw na Lechon (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",357,8,20,25,"Lechon in vinegar sauce","Lechon (roasted pig), Vinegar, Garlic, Bay leaves, Black peppercorns, Sugar, Salt, Water"
"Paksiw na Isda (Small Serving)",Lunch/Dinner,"1 cup (200g)",165,3,18,9,"Fish stewed in vinegar","Fish, Vinegar, Ginger, Garlic, Onion, Salt, Black pepper, Water, Green chili (optional)"
"Paksiw na Isda (Large Serving)",Lunch/Dinner,"1 cup (200g)",275,5,30,15,"Fish stewed in vinegar","Fish, Vinegar, Ginger, Garlic, Onion, Salt, Black pepper, Water, Green chili (optional)"
"Paksiw na Isda (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",220,4,24,12,"Fish stewed in vinegar; spicy","Fish, Vinegar, Ginger, Garlic, Onion, Salt, Black pepper, Water, Green chili (optional)"
"Paksiw na Isda (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",220,4,24,12,"Fish stewed in vinegar; reduced salt","Fish, Vinegar, Ginger, Garlic, Onion, Salt, Black pepper, Water, Green chili (optional)"
"Paksiw na Isda (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",231,10,25,12,"Fish stewed in vinegar; whole grain option","Fish, Vinegar, Ginger, Garlic, Onion, Salt, Black pepper, Water, Green chili (optional)"
"Paksiw na Isda (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",308,5,33,16,"Fish stewed in vinegar","Fish, Vinegar, Ginger, Garlic, Onion, Salt, Black pepper, Water, Green chili (optional)"
"Paksiw na Isda (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",187,3,20,10,"Fish stewed in vinegar","Fish, Vinegar, Ginger, Garlic, Onion, Salt, Black pepper, Water, Green chili (optional)"
"Kare-Kare (Small Serving)",Lunch/Dinner,"1 cup stew + 1 cup rice",525,48,22,26,"Peanut stew, bagoong on side","Oxtail or tripe, Peanut butter, Annatto powder, Eggplant, String beans, Banana heart, Bok choy, Onion, Garlic, Shrimp paste (bagoong), Cooking oil, Water"
"Kare-Kare (Large Serving)",Lunch/Dinner,"1 cup stew + 1 cup rice",875,81,37,43,"Peanut stew, bagoong on side","Oxtail or tripe, Peanut butter, Annatto powder, Eggplant, String beans, Banana heart, Bok choy, Onion, Garlic, Shrimp paste (bagoong), Cooking oil, Water"
"Kare-Kare (Spicy Variant)",Lunch/Dinner,"1 cup stew + 1 cup rice",700,65,30,35,"Peanut stew, bagoong on side; spicy","Oxtail or tripe, Peanut butter, Annatto powder, Eggplant, String beans, Banana heart, Bok choy, Onion, Garlic, Shrimp paste (bagoong), Cooking oil, Water"
"Kare-Kare (Low-Sodium)",Lunch/Dinner,"1 cup stew + 1 cup rice",700,65,30,35,"Peanut stew, bagoong on side; reduced salt","Oxtail or tripe, Peanut butter, Annatto powder, Eggplant, String beans, Banana heart, Bok choy, Onion, Garlic, Shrimp paste (bagoong), Cooking oil, Water"
"Kare-Kare (With Brown Rice)",Lunch/Dinner,"1 cup stew + 1 cup rice",735,74,31,36,"Peanut stew, bagoong on side; whole grain option","Oxtail or tripe, Peanut butter, Annatto powder, Eggplant, String beans, Banana heart, Bok choy, Onion, Garlic, Shrimp paste (bagoong), Cooking oil, Water"
"Kare-Kare (Fiesta Portion)",Lunch/Dinner,"1 cup stew + 1 cup rice",979,91,42,49,"Peanut stew, bagoong on side","Oxtail or tripe, Peanut butter, Annatto powder, Eggplant, String beans, Banana heart, Bok choy, Onion, Garlic, Shrimp paste (bagoong), Cooking oil, Water"
"Kare-Kare (Budget Bowl)",Lunch/Dinner,"1 cup stew + 1 cup rice",595,55,25,29,"Peanut stew, bagoong on side","Oxtail or tripe, Peanut butter, Annatto powder, Eggplant, String beans, Banana heart, Bok choy, Onion, Garlic, Shrimp paste (bagoong), Cooking oil, Water"
"Caldereta (Beef) (Small Serving)",Lunch/Dinner,"1 cup (200g)",262,13,19,15,"Tomato-based beef stew","Beef, Tomato sauce, Potatoes, Carrots, Bell peppers, Onion, Garlic, Bay leaves, Liver spread, Cheese, Green olives, Cooking oil, Salt, Black pepper"
"Caldereta (Beef) (Large Serving)",Lunch/Dinner,"1 cup (200g)",437,22,32,25,"Tomato-based beef stew","Beef, Tomato sauce, Potatoes, Carrots, Bell peppers, Onion, Garlic, Bay leaves, Liver spread, Cheese, Green olives, Cooking oil, Salt, Black pepper"
"Caldereta (Beef) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",350,18,26,20,"Tomato-based beef stew; spicy","Beef, Tomato sauce, Potatoes, Carrots, Bell peppers, Onion, Garlic, Bay leaves, Liver spread, Cheese, Green olives, Cooking oil, Salt, Black pepper"
"Caldereta (Beef) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",350,18,26,20,"Tomato-based beef stew; reduced salt","Beef, Tomato sauce, Potatoes, Carrots, Bell peppers, Onion, Garlic, Bay leaves, Liver spread, Cheese, Green olives, Cooking oil, Salt, Black pepper"
"Caldereta (Beef) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",367,24,27,21,"Tomato-based beef stew; whole grain option","Beef, Tomato sauce, Potatoes, Carrots, Bell peppers, Onion, Garlic, Bay leaves, Liver spread, Cheese, Green olives, Cooking oil, Salt, Black pepper"
"Caldereta (Beef) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",489,25,36,28,"Tomato-based beef stew","Beef, Tomato sauce, Potatoes, Carrots, Bell peppers, Onion, Garlic, Bay leaves, Liver spread, Cheese, Green olives, Cooking oil, Salt, Black pepper"
"Caldereta (Beef) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",297,15,22,17,"Tomato-based beef stew","Beef, Tomato sauce, Potatoes, Carrots, Bell peppers, Onion, Garlic, Bay leaves, Liver spread, Cheese, Green olives, Cooking oil, Salt, Black pepper"
"Menudo (Pork) (Small Serving)",Lunch/Dinner,"1 cup (200g)",210,9,16,13,"Tomato-based pork stew","Pork, Tomato sauce, Potatoes, Carrots, Bell peppers, Onion, Garlic, Bay leaves, Raisins, Green peas, Liver, Cooking oil, Salt, Black pepper"
"Menudo (Pork) (Large Serving)",Lunch/Dinner,"1 cup (200g)",350,15,27,22,"Tomato-based pork stew","Pork, Tomato sauce, Potatoes, Carrots, Bell peppers, Onion, Garlic, Bay leaves, Raisins, Green peas, Liver, Cooking oil, Salt, Black pepper"
"Menudo (Pork) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",280,12,22,18,"Tomato-based pork stew; spicy","Pork, Tomato sauce, Potatoes, Carrots, Bell peppers, Onion, Garlic, Bay leaves, Raisins, Green peas, Liver, Cooking oil, Salt, Black pepper"
"Menudo (Pork) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",280,12,22,18,"Tomato-based pork stew; reduced salt","Pork, Tomato sauce, Potatoes, Carrots, Bell peppers, Onion, Garlic, Bay leaves, Raisins, Green peas, Liver, Cooking oil, Salt, Black pepper"
"Menudo (Pork) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",294,18,23,18,"Tomato-based pork stew; whole grain option","Pork, Tomato sauce, Potatoes, Carrots, Bell peppers, Onion, Garlic, Bay leaves, Raisins, Green peas, Liver, Cooking oil, Salt, Black pepper"
"Menudo (Pork) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",392,16,30,25,"Tomato-based pork stew","Pork, Tomato sauce, Potatoes, Carrots, Bell peppers, Onion, Garlic, Bay leaves, Raisins, Green peas, Liver, Cooking oil, Salt, Black pepper"
"Menudo (Pork) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",238,10,18,15,"Tomato-based pork stew","Pork, Tomato sauce, Potatoes, Carrots, Bell peppers, Onion, Garlic, Bay leaves, Raisins, Green peas, Liver, Cooking oil, Salt, Black pepper"
