"Dish Name",Category,"Serving Size","Calories (kcal)","Carbs (g)","Protein (g)","Fat (g)",Notes,Ingredients
"Hotsilog (Low-Sodium)",Breakfast,"1 set",520,60,18,20,"Hotdog + sinangag + itlog; reduced salt","Egg, Hotdog, Rice"
"Hotsilog (With Brown Rice)",Breakfast,"1 set",546,69,18,21,"Hotdog + sinangag + itlog; whole grain option","Egg, Hotdog, Rice"
"Hotsilog (Fiesta Portion)",Breakfast,"1 set",728,84,25,28,"Hotdog + sinangag + itlog","Egg, Hotdog, Rice"
"Hotsilog (Budget Bowl)",Breakfast,"1 set",442,51,15,17,"Hotdog + sinangag + itlog","Egg, Hotdog, Rice"
"Spamsilog (Small Serving)",Breakfast,"1 set",525,46,16,26,"Spam + sinangag + itlog","Egg, Rice, Spam"
"Spamsilog (Large Serving)",Breakfast,"1 set",875,77,27,43,"Spam + sinangag + itlog","Egg, Rice, Spam"
"Spamsilog (Spicy Variant)",Breakfast,"1 set",700,62,22,35,"Spam + sinangag + itlog; spicy","Egg, Rice, Spam"
"Spamsilog (Low-Sodium)",Breakfast,"1 set",700,62,22,35,"Spam + sinangag + itlog; reduced salt","Egg, Rice, Spam"
"Spamsilog (With Brown Rice)",Breakfast,"1 set",735,71,23,36,"Spam + sinangag + itlog; whole grain option","Egg, Rice, Spam"
"Spamsilog (Fiesta Portion)",Breakfast,"1 set",979,86,30,49,"Spam + sinangag + itlog","Egg, Rice, Spam"
"Spamsilog (Budget Bowl)",Breakfast,"1 set",595,52,18,29,"Spam + sinangag + itlog","Egg, Rice, Spam"
"Cornsilog (Small Serving)",Breakfast,"1 set",450,47,15,18,"Corned beef + sinangag + itlog","Beef, Corned beef, Egg, Rice"
"Cornsilog (Large Serving)",Breakfast,"1 set",750,78,25,30,"Corned beef + sinangag + itlog","Beef, Corned beef, Egg, Rice"
"Cornsilog (Spicy Variant)",Breakfast,"1 set",600,63,20,24,"Corned beef + sinangag + itlog; spicy","Beef, Corned beef, Egg, Rice"
"Cornsilog (Low-Sodium)",Breakfast,"1 set",600,63,20,24,"Corned beef + sinangag + itlog; reduced salt","Beef, Corned beef, Egg, Rice"
"Cornsilog (With Brown Rice)",Breakfast,"1 set",630,72,21,25,"Corned beef + sinangag + itlog; whole grain option","Beef, Corned beef, Egg, Rice"
"Cornsilog (Fiesta Portion)",Breakfast,"1 set",840,88,28,33,"Corned beef + sinangag + itlog","Beef, Corned beef, Egg, Rice"
"Cornsilog (Budget Bowl)",Breakfast,"1 set",510,53,17,20,"Corned beef + sinangag + itlog","Beef, Corned beef, Egg, Rice"
"Baconsilog (Small Serving)",Breakfast,"1 set",510,45,18,26,"Bacon + sinangag + itlog","Bacon, Egg, Rice"
"Baconsilog (Large Serving)",Breakfast,"1 set",850,75,30,43,"Bacon + sinangag + itlog","Bacon, Egg, Rice"
"Baconsilog (Spicy Variant)",Breakfast,"1 set",680,60,24,35,"Bacon + sinangag + itlog; spicy","Bacon, Egg, Rice"
"Baconsilog (Low-Sodium)",Breakfast,"1 set",680,60,24,35,"Bacon + sinangag + itlog; reduced salt","Bacon, Egg, Rice"
"Baconsilog (With Brown Rice)",Breakfast,"1 set",714,69,25,36,"Bacon + sinangag + itlog; whole grain option","Bacon, Egg, Rice"
"Baconsilog (Fiesta Portion)",Breakfast,"1 set",951,84,33,49,"Bacon + sinangag + itlog","Bacon, Egg, Rice"
"Baconsilog (Budget Bowl)",Breakfast,"1 set",578,51,20,29,"Bacon + sinangag + itlog","Bacon, Egg, Rice"
"Dangsilog (Small Serving)",Breakfast,"1 set",397,43,18,13,"Dried fish + sinangag + itlog","Dried fish, Egg, Fish, Rice"
"Dangsilog (Large Serving)",Breakfast,"1 set",662,72,31,22,"Dried fish + sinangag + itlog","Dried fish, Egg, Fish, Rice"
"Dangsilog (Spicy Variant)",Breakfast,"1 set",530,58,25,18,"Dried fish + sinangag + itlog; spicy","Dried fish, Egg, Fish, Rice"
"Dangsilog (Low-Sodium)",Breakfast,"1 set",530,58,25,18,"Dried fish + sinangag + itlog; reduced salt","Dried fish, Egg, Fish, Rice"
"Dangsilog (With Brown Rice)",Breakfast,"1 set",556,66,26,18,"Dried fish + sinangag + itlog; whole grain option","Dried fish, Egg, Fish, Rice"
"Dangsilog (Fiesta Portion)",Breakfast,"1 set",742,81,35,25,"Dried fish + sinangag + itlog","Dried fish, Egg, Fish, Rice"
"Dangsilog (Budget Bowl)",Breakfast,"1 set",450,49,21,15,"Dried fish + sinangag + itlog","Dried fish, Egg, Fish, Rice"
"Adobolog (Small Serving)",Breakfast,"1 set",480,45,21,18,"Adobo + sinangag + itlog","Egg, Garlic, Soy sauce, Vinegar"
"Adobolog (Large Serving)",Breakfast,"1 set",800,76,35,30,"Adobo + sinangag + itlog","Egg, Garlic, Soy sauce, Vinegar"
"Adobolog (Spicy Variant)",Breakfast,"1 set",640,61,28,24,"Adobo + sinangag + itlog; spicy","Egg, Garlic, Soy sauce, Vinegar"
"Adobolog (Low-Sodium)",Breakfast,"1 set",640,61,28,24,"Adobo + sinangag + itlog; reduced salt","Egg, Garlic, Soy sauce, Vinegar"
"Adobolog (With Brown Rice)",Breakfast,"1 set",672,70,29,25,"Adobo + sinangag + itlog; whole grain option","Egg, Garlic, Rice, Soy sauce, Vinegar"
"Adobolog (Fiesta Portion)",Breakfast,"1 set",896,85,39,33,"Adobo + sinangag + itlog","Egg, Garlic, Soy sauce, Vinegar"
"Adobolog (Budget Bowl)",Breakfast,"1 set",544,51,23,20,"Adobo + sinangag + itlog","Egg, Garlic, Soy sauce, Vinegar"
"Lugaw (Rice Porridge) (Small Serving)",Breakfast/Snack,"1 bowl (200g)",135,28,3,1,"Light meal or merienda",Rice
"Lugaw (Rice Porridge) (Large Serving)",Breakfast/Snack,"1 bowl (200g)",225,47,5,2,"Light meal or merienda",Rice
"Lugaw (Rice Porridge) (Spicy Variant)",Breakfast/Snack,"1 bowl (200g)",180,38,4,2,"Light meal or merienda; spicy",Rice
"Lugaw (Rice Porridge) (Low-Sodium)",Breakfast/Snack,"1 bowl (200g)",180,38,4,2,"Light meal or merienda; reduced salt",Rice
"Lugaw (Rice Porridge) (With Brown Rice)",Breakfast/Snack,"1 bowl (200g)",189,45,4,2,"Light meal or merienda; whole grain option",Rice
"Lugaw (Rice Porridge) (Fiesta Portion)",Breakfast/Snack,"1 bowl (200g)",251,53,5,2,"Light meal or merienda",Rice
"Lugaw (Rice Porridge) (Budget Bowl)",Breakfast/Snack,"1 bowl (200g)",153,32,3,1,"Light meal or merienda",Rice
"Goto (Tripe Porridge) (Small Serving)",Breakfast/Snack,"1 bowl (250g)",195,30,9,4,"With beef tripe","Beef, Beef tripe, Rice, Tripe"
"Goto (Tripe Porridge) (Large Serving)",Breakfast/Snack,"1 bowl (250g)",325,50,15,7,"With beef tripe","Beef, Beef tripe, Rice, Tripe"
"Goto (Tripe Porridge) (Spicy Variant)",Breakfast/Snack,"1 bowl (250g)",260,40,12,6,"With beef tripe; spicy","Beef, Beef tripe; spicy, Rice, Tripe"
"Goto (Tripe Porridge) (Low-Sodium)",Breakfast/Snack,"1 bowl (250g)",260,40,12,6,"With beef tripe; reduced salt","Beef, Beef tripe; reduced salt, Rice, Tripe"
"Goto (Tripe Porridge) (With Brown Rice)",Breakfast/Snack,"1 bowl (250g)",273,48,12,6,"With beef tripe; whole grain option","Beef, Beef tripe; whole grain option, Rice, Tripe"
"Goto (Tripe Porridge) (Fiesta Portion)",Breakfast/Snack,"1 bowl (250g)",364,56,16,8,"With beef tripe","Beef, Beef tripe, Rice, Tripe"
"Goto (Tripe Porridge) (Budget Bowl)",Breakfast/Snack,"1 bowl (250g)",221,34,10,5,"With beef tripe","Beef, Beef tripe, Rice, Tripe"
"Arroz Caldo (Chicken) (Small Serving)",Breakfast/Snack,"1 bowl (250g)",225,31,12,6,"Ginger rice porridge","Chicken, Rice"
"Arroz Caldo (Chicken) (Large Serving)",Breakfast/Snack,"1 bowl (250g)",375,52,20,10,"Ginger rice porridge","Chicken, Rice"
"Arroz Caldo (Chicken) (Spicy Variant)",Breakfast/Snack,"1 bowl (250g)",300,42,16,8,"Ginger rice porridge; spicy","Chicken, Rice"
"Arroz Caldo (Chicken) (Low-Sodium)",Breakfast/Snack,"1 bowl (250g)",300,42,16,8,"Ginger rice porridge; reduced salt","Chicken, Rice"
"Arroz Caldo (Chicken) (With Brown Rice)",Breakfast/Snack,"1 bowl (250g)",315,50,16,8,"Ginger rice porridge; whole grain option","Chicken, Rice"
"Arroz Caldo (Chicken) (Fiesta Portion)",Breakfast/Snack,"1 bowl (250g)",420,58,22,11,"Ginger rice porridge","Chicken, Rice"
"Arroz Caldo (Chicken) (Budget Bowl)",Breakfast/Snack,"1 bowl (250g)",255,35,13,6,"Ginger rice porridge","Chicken, Rice"
"Champorado (Small Serving)",Breakfast,"1 bowl (200g)",187,41,4,3,"Chocolate rice porridge",Rice
"Champorado (Large Serving)",Breakfast,"1 bowl (200g)",312,68,7,5,"Chocolate rice porridge",Rice
"Champorado (Spicy Variant)",Breakfast,"1 bowl (200g)",250,55,6,4,"Chocolate rice porridge; spicy",Rice
"Champorado (Low-Sodium)",Breakfast,"1 bowl (200g)",250,55,6,4,"Chocolate rice porridge; reduced salt",Rice
"Champorado (With Brown Rice)",Breakfast,"1 bowl (200g)",262,63,6,4,"Chocolate rice porridge; whole grain option",Rice
"Champorado (Fiesta Portion)",Breakfast,"1 bowl (200g)",350,77,8,5,"Chocolate rice porridge",Rice
"Champorado (Budget Bowl)",Breakfast,"1 bowl (200g)",212,46,5,3,"Chocolate rice porridge",Rice
"Pandesal (Small Serving)",Breakfast,"1 piece (30g)",67,13,2,0,"Eaten with coffee",Coffee
"Pandesal (Large Serving)",Breakfast,"1 piece (30g)",112,22,3,1,"Eaten with coffee",Coffee
"Pandesal (Spicy Variant)",Breakfast,"1 piece (30g)",90,18,3,1,"Eaten with coffee; spicy","Coffee; spicy"
"Pandesal (Low-Sodium)",Breakfast,"1 piece (30g)",90,18,3,1,"Eaten with coffee; reduced salt","Coffee; reduced salt"
"Pandesal (With Brown Rice)",Breakfast,"1 piece (30g)",94,24,3,1,"Eaten with coffee; whole grain option","Coffee; whole grain option, Rice"
"Pandesal (Fiesta Portion)",Breakfast,"1 piece (30g)",125,25,4,1,"Eaten with coffee",Coffee
"Pandesal (Budget Bowl)",Breakfast,"1 piece (30g)",76,15,2,0,"Eaten with coffee",Coffee
"Taho (Small Serving)",Breakfast/Snack,"1 cup (250ml)",135,22,4,2,"Soft tofu with arnibal & sago","Arnibal & sago"
"Taho (Large Serving)",Breakfast/Snack,"1 cup (250ml)",225,37,7,3,"Soft tofu with arnibal & sago","Arnibal & sago"
"Taho (Spicy Variant)",Breakfast/Snack,"1 cup (250ml)",180,30,6,3,"Soft tofu with arnibal & sago; spicy","Arnibal & sago; spicy"
"Taho (Low-Sodium)",Breakfast/Snack,"1 cup (250ml)",180,30,6,3,"Soft tofu with arnibal & sago; reduced salt","Arnibal & sago; reduced salt"
"Taho (With Brown Rice)",Breakfast/Snack,"1 cup (250ml)",189,37,6,3,"Soft tofu with arnibal & sago; whole grain option","Arnibal & sago; whole grain option, Rice"
"Taho (Fiesta Portion)",Breakfast/Snack,"1 cup (250ml)",251,42,8,4,"Soft tofu with arnibal & sago","Arnibal & sago"
"Taho (Budget Bowl)",Breakfast/Snack,"1 cup (250ml)",153,25,5,2,"Soft tofu with arnibal & sago","Arnibal & sago"
"Omelette w/ Tomatoes (Small Serving)",Breakfast,"1 serving",165,3,10,12,"Simple Filipino omelette","Egg, Tomato"
"Omelette w/ Tomatoes (Large Serving)",Breakfast,"1 serving",275,6,17,20,"Simple Filipino omelette","Egg, Tomato"
"Omelette w/ Tomatoes (Spicy Variant)",Breakfast,"1 serving",220,5,14,16,"Simple Filipino omelette; spicy","Egg, Tomato"
"Omelette w/ Tomatoes (Low-Sodium)",Breakfast,"1 serving",220,5,14,16,"Simple Filipino omelette; reduced salt","Egg, Tomato"
"Omelette w/ Tomatoes (With Brown Rice)",Breakfast,"1 serving",231,11,14,16,"Simple Filipino omelette; whole grain option","Egg, Rice, Tomato"
"Omelette w/ Tomatoes (Fiesta Portion)",Breakfast,"1 serving",308,7,19,22,"Simple Filipino omelette","Egg, Tomato"
"Omelette w/ Tomatoes (Budget Bowl)",Breakfast,"1 serving",187,4,11,13,"Simple Filipino omelette","Egg, Tomato"
"Tortang Talong (Small Serving)",Breakfast/Lunch,"1 piece (150g)",172,9,7,11,"Eggplant omelette","Egg, Eggplant"
"Tortang Talong (Large Serving)",Breakfast/Lunch,"1 piece (150g)",287,15,12,18,"Eggplant omelette","Egg, Eggplant"
"Tortang Talong (Spicy Variant)",Breakfast/Lunch,"1 piece (150g)",230,12,10,15,"Eggplant omelette; spicy","Egg, Eggplant"
"Tortang Talong (Low-Sodium)",Breakfast/Lunch,"1 piece (150g)",230,12,10,15,"Eggplant omelette; reduced salt","Egg, Eggplant"
"Tortang Talong (With Brown Rice)",Breakfast/Lunch,"1 piece (150g)",241,18,10,15,"Eggplant omelette; whole grain option","Egg, Eggplant, Rice"
"Tortang Talong (Fiesta Portion)",Breakfast/Lunch,"1 piece (150g)",322,16,14,21,"Eggplant omelette","Egg, Eggplant"
"Tortang Talong (Budget Bowl)",Breakfast/Lunch,"1 piece (150g)",195,10,8,12,"Eggplant omelette","Egg, Eggplant"
"Tortang Giniling (Small Serving)",Breakfast/Lunch,"1 slice (150g)",240,7,13,16,"Ground pork omelette","Egg, Pork"
"Tortang Giniling (Large Serving)",Breakfast/Lunch,"1 slice (150g)",400,12,22,27,"Ground pork omelette","Egg, Pork"
"Tortang Giniling (Spicy Variant)",Breakfast/Lunch,"1 slice (150g)",320,10,18,22,"Ground pork omelette; spicy","Egg, Pork"
"Tortang Giniling (Low-Sodium)",Breakfast/Lunch,"1 slice (150g)",320,10,18,22,"Ground pork omelette; reduced salt","Egg, Pork"
"Tortang Giniling (With Brown Rice)",Breakfast/Lunch,"1 slice (150g)",336,16,18,23,"Ground pork omelette; whole grain option","Egg, Pork, Rice"
"Tortang Giniling (Fiesta Portion)",Breakfast/Lunch,"1 slice (150g)",448,14,25,30,"Ground pork omelette","Egg, Pork"
"Tortang Giniling (Budget Bowl)",Breakfast/Lunch,"1 slice (150g)",272,8,15,18,"Ground pork omelette","Egg, Pork"
"Pancit Canton (Small Serving)",Snack/Lunch,"1 plate (250g)",300,41,13,9,"Stir-fried egg noodles","Egg, Noodles"
"Pancit Canton (Large Serving)",Snack/Lunch,"1 plate (250g)",500,68,22,15,"Stir-fried egg noodles","Egg, Noodles"
"Pancit Canton (Spicy Variant)",Snack/Lunch,"1 plate (250g)",400,55,18,12,"Stir-fried egg noodles; spicy","Egg, Noodles"
"Pancit Canton (Low-Sodium)",Snack/Lunch,"1 plate (250g)",400,55,18,12,"Stir-fried egg noodles; reduced salt","Egg, Noodles"
"Pancit Canton (With Brown Rice)",Snack/Lunch,"1 plate (250g)",420,63,18,12,"Stir-fried egg noodles; whole grain option","Egg, Noodles, Rice"
"Pancit Canton (Fiesta Portion)",Snack/Lunch,"1 plate (250g)",560,77,25,16,"Stir-fried egg noodles","Egg, Noodles"
"Pancit Canton (Budget Bowl)",Snack/Lunch,"1 plate (250g)",340,46,15,10,"Stir-fried egg noodles","Egg, Noodles"
"Pancit Bihon (Small Serving)",Snack/Lunch,"1 plate (250g)",285,43,11,7,"Rice noodles with veg & meat","Noodles, Rice, Veg & meat"
"Pancit Bihon (Large Serving)",Snack/Lunch,"1 plate (250g)",475,72,18,12,"Rice noodles with veg & meat","Noodles, Rice, Veg & meat"
"Pancit Bihon (Spicy Variant)",Snack/Lunch,"1 plate (250g)",380,58,15,10,"Rice noodles with veg & meat; spicy","Noodles, Rice, Veg & meat; spicy"
"Pancit Bihon (Low-Sodium)",Snack/Lunch,"1 plate (250g)",380,58,15,10,"Rice noodles with veg & meat; reduced salt","Noodles, Rice, Veg & meat; reduced salt"
"Pancit Bihon (With Brown Rice)",Snack/Lunch,"1 plate (250g)",399,66,15,10,"Rice noodles with veg & meat; whole grain option","Noodles, Rice, Veg & meat; whole grain option"
"Pancit Bihon (Fiesta Portion)",Snack/Lunch,"1 plate (250g)",532,81,21,14,"Rice noodles with veg & meat","Noodles, Rice, Veg & meat"
"Pancit Bihon (Budget Bowl)",Snack/Lunch,"1 plate (250g)",323,49,12,8,"Rice noodles with veg & meat","Noodles, Rice, Veg & meat"
"Pancit Malabon (Small Serving)",Snack/Lunch,"1 plate (250g)",315,45,15,10,"Seafood pancit",Noodles
"Pancit Malabon (Large Serving)",Snack/Lunch,"1 plate (250g)",525,75,25,17,"Seafood pancit",Noodles
"Pancit Malabon (Spicy Variant)",Snack/Lunch,"1 plate (250g)",420,60,20,14,"Seafood pancit; spicy",Noodles
"Pancit Malabon (Low-Sodium)",Snack/Lunch,"1 plate (250g)",420,60,20,14,"Seafood pancit; reduced salt",Noodles
"Pancit Malabon (With Brown Rice)",Snack/Lunch,"1 plate (250g)",441,69,21,14,"Seafood pancit; whole grain option","Noodles, Rice"
"Pancit Malabon (Fiesta Portion)",Snack/Lunch,"1 plate (250g)",588,84,28,19,"Seafood pancit",Noodles
"Pancit Malabon (Budget Bowl)",Snack/Lunch,"1 plate (250g)",357,51,17,11,"Seafood pancit",Noodles
"Pancit Palabok (Small Serving)",Snack/Lunch,"1 plate (250g)",337,46,13,10,"Shrimp sauce, chicharon, egg","Chicharo, Chicharon, Egg, Noodles, Shrimp"
"Pancit Palabok (Large Serving)",Snack/Lunch,"1 plate (250g)",562,77,22,17,"Shrimp sauce, chicharon, egg","Chicharo, Chicharon, Egg, Noodles, Shrimp"
"Pancit Palabok (Spicy Variant)",Snack/Lunch,"1 plate (250g)",450,62,18,14,"Shrimp sauce, chicharon, egg; spicy","Chicharo, Chicharon, Egg, Noodles, Shrimp"
"Pancit Palabok (Low-Sodium)",Snack/Lunch,"1 plate (250g)",450,62,18,14,"Shrimp sauce, chicharon, egg; reduced salt","Chicharo, Chicharon, Egg, Noodles, Shrimp"
"Pancit Palabok (With Brown Rice)",Snack/Lunch,"1 plate (250g)",472,71,18,14,"Shrimp sauce, chicharon, egg; whole grain option","Chicharo, Chicharon, Egg, Noodles, Rice, Shrimp"
"Pancit Palabok (Fiesta Portion)",Snack/Lunch,"1 plate (250g)",630,86,25,19,"Shrimp sauce, chicharon, egg","Chicharo, Chicharon, Egg, Noodles, Shrimp"
"Pancit Palabok (Budget Bowl)",Snack/Lunch,"1 plate (250g)",382,52,15,11,"Shrimp sauce, chicharon, egg","Chicharo, Chicharon, Egg, Noodles, Shrimp"
"Pancit Habhab (Lucban) (Small Serving)",Snack/Lunch,"1 plate (250g)",285,42,12,7,"Served on banana leaf","Banana, Noodles"
"Pancit Habhab (Lucban) (Large Serving)",Snack/Lunch,"1 plate (250g)",475,70,20,12,"Served on banana leaf","Banana, Noodles"
"Pancit Habhab (Lucban) (Spicy Variant)",Snack/Lunch,"1 plate (250g)",380,56,16,10,"Served on banana leaf; spicy","Banana, Noodles"
"Pancit Habhab (Lucban) (Low-Sodium)",Snack/Lunch,"1 plate (250g)",380,56,16,10,"Served on banana leaf; reduced salt","Banana, Noodles"
"Pancit Habhab (Lucban) (With Brown Rice)",Snack/Lunch,"1 plate (250g)",399,64,16,10,"Served on banana leaf; whole grain option","Banana, Noodles, Rice"
"Pancit Habhab (Lucban) (Fiesta Portion)",Snack/Lunch,"1 plate (250g)",532,78,22,14,"Served on banana leaf","Banana, Noodles"
"Pancit Habhab (Lucban) (Budget Bowl)",Snack/Lunch,"1 plate (250g)",323,47,13,8,"Served on banana leaf","Banana, Noodles"
"Sotanghon Guisado (Small Serving)",Snack/Lunch,"1 plate (250g)",270,40,12,6,"Glass noodles stir-fry","Rice, Vegetables"
"Sotanghon Guisado (Large Serving)",Snack/Lunch,"1 plate (250g)",450,67,20,10,"Glass noodles stir-fry","Rice, Vegetables"
"Sotanghon Guisado (Spicy Variant)",Snack/Lunch,"1 plate (250g)",360,54,16,8,"Glass noodles stir-fry; spicy","Rice, Vegetables"
"Sotanghon Guisado (Low-Sodium)",Snack/Lunch,"1 plate (250g)",360,54,16,8,"Glass noodles stir-fry; reduced salt","Rice, Vegetables"
"Sotanghon Guisado (With Brown Rice)",Snack/Lunch,"1 plate (250g)",378,62,16,8,"Glass noodles stir-fry; whole grain option",Rice
"Sotanghon Guisado (Fiesta Portion)",Snack/Lunch,"1 plate (250g)",503,75,22,11,"Glass noodles stir-fry","Rice, Vegetables"
"Sotanghon Guisado (Budget Bowl)",Snack/Lunch,"1 plate (250g)",306,45,13,6,"Glass noodles stir-fry","Rice, Vegetables"
"Lomi (Batangas) (Small Serving)",Lunch/Dinner,"1 bowl (300g)",360,46,15,12,"Thick egg noodle soup","Egg, Noodles"
"Lomi (Batangas) (Large Serving)",Lunch/Dinner,"1 bowl (300g)",600,77,25,20,"Thick egg noodle soup","Egg, Noodles"
"Lomi (Batangas) (Spicy Variant)",Lunch/Dinner,"1 bowl (300g)",480,62,20,16,"Thick egg noodle soup; spicy","Egg, Noodles"
"Lomi (Batangas) (Low-Sodium)",Lunch/Dinner,"1 bowl (300g)",480,62,20,16,"Thick egg noodle soup; reduced salt","Egg, Noodles"
"Lomi (Batangas) (With Brown Rice)",Lunch/Dinner,"1 bowl (300g)",504,71,21,16,"Thick egg noodle soup; whole grain option","Egg, Noodles, Rice"
"Lomi (Batangas) (Fiesta Portion)",Lunch/Dinner,"1 bowl (300g)",672,86,28,22,"Thick egg noodle soup","Egg, Noodles"
"Lomi (Batangas) (Budget Bowl)",Lunch/Dinner,"1 bowl (300g)",408,52,17,13,"Thick egg noodle soup","Egg, Noodles"
"Batchoy (La Paz) (Small Serving)",Lunch/Dinner,"1 bowl (300g)",390,36,16,16,"With pork innards & chicharon","Chicharo, Chicharon, Innards, Noodles, Pork, Pork innards & chicharon"
"Batchoy (La Paz) (Large Serving)",Lunch/Dinner,"1 bowl (300g)",650,60,27,27,"With pork innards & chicharon","Chicharo, Chicharon, Innards, Noodles, Pork, Pork innards & chicharon"
"Batchoy (La Paz) (Spicy Variant)",Lunch/Dinner,"1 bowl (300g)",520,48,22,22,"With pork innards & chicharon; spicy","Chicharo, Chicharon, Innards, Noodles, Pork, Pork innards & chicharon; spicy"
"Batchoy (La Paz) (Low-Sodium)",Lunch/Dinner,"1 bowl (300g)",520,48,22,22,"With pork innards & chicharon; reduced salt","Chicharo, Chicharon, Innards, Noodles, Pork, Pork innards & chicharon; reduced salt"
"Batchoy (La Paz) (With Brown Rice)",Lunch/Dinner,"1 bowl (300g)",546,56,23,23,"With pork innards & chicharon; whole grain option","Chicharo, Chicharon, Innards, Noodles, Pork, Pork innards & chicharon; whole grain option, Rice"
"Batchoy (La Paz) (Fiesta Portion)",Lunch/Dinner,"1 bowl (300g)",728,67,30,30,"With pork innards & chicharon","Chicharo, Chicharon, Innards, Noodles, Pork, Pork innards & chicharon"
"Batchoy (La Paz) (Budget Bowl)",Lunch/Dinner,"1 bowl (300g)",442,40,18,18,"With pork innards & chicharon","Chicharo, Chicharon, Innards, Noodles, Pork, Pork innards & chicharon"
"Sopas (Macaroni Soup) (Small Serving)",Snack/Lunch,"1 bowl (300g)",262,31,12,9,"Creamy chicken macaroni soup","Chicken, Noodles"
"Sopas (Macaroni Soup) (Large Serving)",Snack/Lunch,"1 bowl (300g)",437,52,20,15,"Creamy chicken macaroni soup","Chicken, Noodles"
"Sopas (Macaroni Soup) (Spicy Variant)",Snack/Lunch,"1 bowl (300g)",350,42,16,12,"Creamy chicken macaroni soup; spicy","Chicken, Noodles"
"Sopas (Macaroni Soup) (Low-Sodium)",Snack/Lunch,"1 bowl (300g)",350,42,16,12,"Creamy chicken macaroni soup; reduced salt","Chicken, Noodles"
"Sopas (Macaroni Soup) (With Brown Rice)",Snack/Lunch,"1 bowl (300g)",367,50,16,12,"Creamy chicken macaroni soup; whole grain option","Chicken, Noodles, Rice"
"Sopas (Macaroni Soup) (Fiesta Portion)",Snack/Lunch,"1 bowl (300g)",489,58,22,16,"Creamy chicken macaroni soup","Chicken, Noodles"
"Sopas (Macaroni Soup) (Budget Bowl)",Snack/Lunch,"1 bowl (300g)",297,35,13,10,"Creamy chicken macaroni soup","Chicken, Noodles"
"Adobo (Chicken) (Small Serving)",Lunch/Dinner,"1 cup (200g)",187,3,18,11,"Soy-vinegar stew","Chicken, Garlic, Soy sauce, Vinegar"
"Adobo (Chicken) (Large Serving)",Lunch/Dinner,"1 cup (200g)",312,6,31,18,"Soy-vinegar stew","Chicken, Garlic, Soy sauce, Vinegar"
"Adobo (Chicken) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",250,5,25,15,"Soy-vinegar stew; spicy","Chicken, Garlic, Soy sauce, Vinegar"
"Adobo (Chicken) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",250,5,25,15,"Soy-vinegar stew; reduced salt","Chicken, Garlic, Soy sauce, Vinegar"
"Adobo (Chicken) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",262,11,26,15,"Soy-vinegar stew; whole grain option","Chicken, Garlic, Rice, Soy sauce, Vinegar"
"Adobo (Chicken) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",350,7,35,21,"Soy-vinegar stew","Chicken, Garlic, Soy sauce, Vinegar"
"Adobo (Chicken) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",212,4,21,12,"Soy-vinegar stew","Chicken, Garlic, Soy sauce, Vinegar"
"Adobo (Pork) (Small Serving)",Lunch/Dinner,"1 cup (200g)",247,4,21,16,"Classic ulam","Garlic, Pork, Soy sauce, Vinegar"
"Adobo (Pork) (Large Serving)",Lunch/Dinner,"1 cup (200g)",412,7,35,27,"Classic ulam","Garlic, Pork, Soy sauce, Vinegar"
"Adobo (Pork) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",330,6,28,22,"Classic ulam; spicy","Garlic, Pork, Soy sauce, Vinegar"
"Adobo (Pork) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",330,6,28,22,"Classic ulam; reduced salt","Garlic, Pork, Soy sauce, Vinegar"
"Adobo (Pork) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",346,12,29,23,"Classic ulam; whole grain option","Garlic, Pork, Rice, Soy sauce, Vinegar"
"Adobo (Pork) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",461,8,39,30,"Classic ulam","Garlic, Pork, Soy sauce, Vinegar"
"Adobo (Pork) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",280,5,23,18,"Classic ulam","Garlic, Pork, Soy sauce, Vinegar"
"Adobo sa Gata (Small Serving)",Lunch/Dinner,"1 cup (200g)",285,6,19,19,"Adobo with coconut milk","Coconut, Coconut milk, Garlic, Soy sauce, Vinegar"
"Adobo sa Gata (Large Serving)",Lunch/Dinner,"1 cup (200g)",475,10,32,32,"Adobo with coconut milk","Coconut, Coconut milk, Garlic, Soy sauce, Vinegar"
"Adobo sa Gata (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",380,8,26,26,"Adobo with coconut milk; spicy","Coconut, Coconut milk, Coconut milk; spicy, Garlic, Soy sauce, Vinegar"
"Adobo sa Gata (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",380,8,26,26,"Adobo with coconut milk; reduced salt","Coconut, Coconut milk, Coconut milk; reduced salt, Garlic, Soy sauce, Vinegar"
"Adobo sa Gata (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",399,14,27,27,"Adobo with coconut milk; whole grain option","Coconut, Coconut milk, Coconut milk; whole grain option, Garlic, Rice, Soy sauce, Vinegar"
